id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
87,United States of America,,,,"Economics, econometrics and finance",,,Social sciences,,,Female,Professor,University,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,,,,,,,,,,Global North
88,France,,,,,,,Social sciences,,,Female,Professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,Global North
89,Italy,,,,"Economics, econometrics and finance",,,,,,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,,,,,,,,,,Global North
90,Russian Federation,Arts and humanities,,,,,,,,,Female,Postdoctoral researcher,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Global North
91,South Africa,Arts and humanities,,,,,,,,,Male,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Global South
92,Germany,Arts and humanities,,,,,,Social sciences,,,Male,Professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
93,Belgium,Arts and humanities,,,,,,,,,Male,Phd student/holder,University,3-5,Some of these articles were also deposited as preprints*,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,,,,,,,,,,Global North
95,Nigeria,,,,,,,Social sciences,,,Male,Lecturer,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
97,India,,,,,,,Social sciences,,,Female,Professor,Non-university research institution,21+,Some of these articles were also deposited as preprints*,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly disagree,Agree,,,,,,,,,,Global South
98,United States of America,,,,,,,Social sciences,,,Female,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Global North
99,Nigeria,,,,,,,Social sciences,,Education,Male,Master student/holder,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Global South
100,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Global North
101,Italy,,,,,,,,,Computer science,Male,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
102,Spain,,,,"Economics, econometrics and finance",,,,,Management engineering,Female,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
103,Germany,,,,,,,,,Environmental science,Male,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
104,Sweden,,,,,,,Social sciences,,,Male,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
106,Poland,Arts and humanities,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Global North
107,Turkey,Arts and humanities,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Global North
108,United States of America,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Global North
109,the United Kingdom of Great Britain and Northern Ireland,,,,,,Psychology,,,,Female,Professor,University,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,,,,,,,,,,Global North
110,Belgium,,,,,Multidisciplinary,,Social sciences,,,Male,Phd student/holder,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Global North
111,Italy,Arts and humanities,,,,,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
112,Sweden,,"Business, management and accounting",,,,,,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
114,Sweden,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
115,Portugal,,,,"Economics, econometrics and finance",,,,,,Male,Professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
116,United States of America,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Global North
117,Italy,Arts and humanities,,,,Multidisciplinary,,,,,Female,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Global North
118,United States of America,Arts and humanities,"Business, management and accounting",Decision sciences,,Multidisciplinary,,,,,Male,Postdoctoral researcher,University,21+,Some of these articles were also deposited as preprints*,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,Global North
119,Italy,,,,,,,Social sciences,,,Male,Researcher,Non-university research institution,6-10,Some of these articles were also deposited as preprints*,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global North
120,Sweden,,,,,,,Social sciences,,,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Global North
121,South Africa,,,,,,,,,Social work,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global South
122,Malaysia,Arts and humanities,,,,,,Social sciences,,,Male,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Global South
123,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Male,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Global North
124,Spain,,,,,,,Social sciences,,,Male,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
125,United States of America,,,,,,,Social sciences,,,Female,Phd student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Global North
126,Denmark,,,,,,,Social sciences,,,Female,Postdoctoral researcher,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
128,Poland,,,,"Economics, econometrics and finance",,,Social sciences,,,Female,Assistant professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,Global North
130,France,,,,,Multidisciplinary,,,,,Male,Professor,University,3-5,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
131,Spain,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,,,,,,,,,,Global North
132,Spain,,,,,,Psychology,,,,Female,Associate professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
133,United States of America,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Global North
136,Austria,,,,,,,Social sciences,,,Female,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
137,Spain,,,,"Economics, econometrics and finance",,,,,,Female,Professor,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,,,,,,,,,Global North
138,Germany,Arts and humanities,,,,Multidisciplinary,,Social sciences,,Sustainability research,Male,Postdoctoral researcher,Independent,11-20,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,Global North
140,India,,"Business, management and accounting",,"Economics, econometrics and finance",,,,,,Male,Assistant professor,University,21+,Some of these articles were also deposited as preprints*,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,,,,,,,,,,Global South
141,Italy,,,,,,,Social sciences,,,Female,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
143,Germany,,,,,,,,,Natural sciences,Male,Master student/holder,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
144,United States of America,Arts and humanities,,,,Multidisciplinary,,Social sciences,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
146,Italy,,,,"Economics, econometrics and finance",,,,,,Male,Assistant professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
147,Italy,,,,"Economics, econometrics and finance",,,,,,Female,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
148,Canada,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
149,Malaysia,,,,,,,Social sciences,,,Female,Master student/holder,School,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
