id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
101,Germany,Economics and econometrics,,,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,,,,,,,,,,Global North
102,Slovakia,Economics and econometrics,,,,,,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Global North
104,Portugal,Economics and econometrics,,,,,,Male,Assistant professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
105,Greece,,,,,,Environment,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Global North
106,the United Kingdom of Great Britain and Northern Ireland,,,,,,Marketing,Female,Business or industry professional,Business or industry,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
107,Germany,Economics and econometrics,,,,,Computational social science,Male,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
110,Italy,Economics and econometrics,,,,,,Male,Associate professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
111,Italy,,,,,,Management accounting,Female,Postdoctoral researcher,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Global North
112,Spain,,,,,,Chemical engineering; food industry,Male,Senior researcher,Non-university research institution,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
113,Turkey,Economics and econometrics,,,,,,Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Global North
114,Germany,Economics and econometrics,,,,,Innovation economics,Male,Postdoctoral researcher,Non-university research institution,21+,Some of these articles were also deposited as working paper*,Agree,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,,,,,,,,,Global North
115,Italy,,,,,,Ecological economics,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
116,Spain,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
117,Republic of Korea,,,,,,Marketing,Male,Professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
118,Norway,Economics and econometrics,,,,,,Male,Senior researcher,Non-university research institution,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Global North
119,Germany,,,,,Prefer not to say,,Female,Professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,,,,,,,,,,Global North
121,Sweden,,,,,,Inter- and transdisciplinary,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
122,United States of America,Economics and econometrics,,,,,,Male,Senior researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
123,Turkey,,,,"General economics, econometrics and finance",,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Global North
124,Spain,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
125,Malaysia,,,,,,Statistical modeling,Male,Assistant professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
127,Norway,,,,,,Sociology,Male,Associate professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global North
128,Romania,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
130,United States of America,Economics and econometrics,,,,,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
131,Czech Republic,Economics and econometrics,,,,,"Sensory analysis, sociology",Male,Phd student/holder,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Global North
132,Germany,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
133,Poland,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
135,Germany,Economics and econometrics,,,,,,Female,Postdoctoral researcher,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Global North
136,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Professor,Business or industry,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Global North
138,Netherlands,Economics and econometrics,,,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
139,Spain,,,,,,Management,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Global North
140,Denmark,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
141,Hungary,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Global North
142,France,,,,"General economics, econometrics and finance",,Labor economics,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,Global North
144,Estonia,,,Finance,,,Business,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Global North
145,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
146,Germany,,,,,,Political science,Male,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
147,China,Economics and econometrics,,,"General economics, econometrics and finance",,,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Global South
148,Sweden,Economics and econometrics,,,,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
150,Canada,,,,,,Accounting,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly disagree,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,,,,,,,,,,Global North
151,Czech Republic,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Global North
152,Greece,,,,,,Environmental science,Female,Lecturer,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Global North
153,Japan,,,,,,"Economic theory, game theory, institutional economics, philosophy and economics",Male,Professor,Retired,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly disagree,Disagree,Global North
155,Germany,,,,"General economics, econometrics and finance",,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
156,the United Kingdom of Great Britain and Northern Ireland,,,,,,Sociology ,Male,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
157,Colombia,,,,"General economics, econometrics and finance",,,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Global South
158,the United Kingdom of Great Britain and Northern Ireland,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
159,Romania,Economics and econometrics,,,,,,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Global North
160,Sweden,,,,,,Sociology,Male,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Global North
